probe,strength,layer,A,B,C,D,E,sd_A,sd_B,sd_C,dz_B_C,dz_B_A,dz_C_A,dz_D_A,dz_E_A
P1,0.5,11,1.6775614465414712,1.6471682317881022,1.6272479734312721,1.6537587178704096,1.3856152885700557,0.10209053925754397,0.1265049423546814,0.134096758435216,0.1269872719876613,-0.21261597440493124,-0.4663242270037284,-0.2933826115792293,-1.4775932209108713
P1,0.5,12,1.1625833619815147,1.1694314128877576,1.1253620481445534,1.1679502967042539,0.9002149294816372,0.24334664073347892,0.223235736134154,0.2513951237985906,0.3047884978635309,0.047640767840646865,-0.5165580360575347,0.060224329524369416,-1.1489820520452392
P1,0.5,13,1.8558074091802266,1.7874229918196725,1.8459645286595765,1.8351087565666873,1.7131010585761026,0.2612164906722426,0.3155640805084767,0.26176853736107414,-0.31352188447976953,-0.413444576957746,-0.09635384404653746,-0.24355274785538858,-0.9585905411092769
P1,0.5,14,1.6033787724558732,1.638215044374347,1.5926237167041406,1.6407080802039693,1.6762696572170863,0.4861503096957854,0.4939378619271187,0.4684535284576105,0.2731984097796419,0.25939204332931887,-0.0933890762264711,0.33221952266573557,0.3749222597855493
P1,0.5,15,1.0903240854321268,1.005945367803806,1.039794208255204,1.106508318562423,0.9434204789261551,0.34253060412999703,0.3431063248331534,0.29882647308707244,-0.171156284066115,-0.5195460447067416,-0.4062418757535996,0.14579614834373233,-1.0854874400879924
P1,0.5,16,1.6095030566853648,1.5114014630428543,1.5910753253102954,1.6081354649516075,1.527349464190312,0.2203320788885934,0.2432070317755462,0.19005952412942465,-0.4061269085229014,-0.557693050567675,-0.11931620767687622,-0.009548796621893889,-0.47050936846597885
P1,0.5,17,1.7198713276507038,1.6831987950698934,1.6922318012369317,1.6966333287420923,1.6274666301339227,0.19158984248688146,0.22198217454395683,0.1874198300049587,-0.04429206384767013,-0.24242911233130973,-0.1430693133088007,-0.14260333873500494,-0.7236762456800899
P1,0.5,18,0.5633529290941464,0.5225378423350959,0.5436507008911667,0.5508683097855097,0.5336201321916341,0.19755865279455884,0.2401908406921456,0.2017319579707594,-0.11859004144538086,-0.3301054645118108,-0.13331775008848354,-0.09046762805487332,-0.2754870024967509
P1,0.5,19,0.24268129960279933,0.20083981695088138,0.20308132517180547,0.22221727771280322,0.1564574643553019,0.338095491801449,0.36471301906802217,0.35677544963540864,-0.011566449289748433,-0.23826875809729098,-0.18499076822812652,-0.12167200529930877,-0.5945622715929195
P1,0.5,20,0.6196513046222154,0.5341758097659399,0.5031114931017815,0.4373471027999365,0.3708771517874806,0.43172653135101874,0.4263464898310194,0.5023601382786493,0.10431187740416228,-0.322742539446719,-0.34897438892004107,-0.7365498915755779,-1.0978309310800236
P1,0.5,21,0.3314445109881474,0.2066094568969259,0.31290340681041895,0.1948353563332687,0.6540934081591304,0.4449452598348298,0.459221001609108,0.5436662179156622,-0.3371241725340716,-0.42304939976318634,-0.062456796992996416,-0.5776371174719293,0.9535366783081733
P1,0.5,22,1.6105929718577752,1.5097264131145587,1.5354699592582597,1.5146211828562202,2.1424471363773856,0.46039384200897493,0.6052929724714017,0.40599934006880317,-0.05529036886533895,-0.24119126731162996,-0.2570292422952151,-0.36562911092317174,1.6564752716931352
P1,0.5,23,1.6951902487194626,1.478863386080565,1.6373967735232047,1.5604605522515327,1.8330198115141563,0.4272227700960062,0.5307771466892303,0.4346613689358937,-0.3464588143246298,-0.5279619427386143,-0.16622446831991294,-0.45648289862602853,0.5034720499498693
P1,0.5,24,3.6762275709118932,3.4933006921294805,3.577448884596371,3.5433048009736097,3.622504515639572,0.5103965597416197,0.6146305294355856,0.46907447033742905,-0.19149099826651572,-0.45692443265429555,-0.29989638382131667,-0.44317160556752827,-0.1941877659024494
P1,0.5,25,3.991600839214997,3.8754229833468594,3.8511301735399606,3.8550875156960096,3.996532776678599,0.6357671892952298,0.7660158702185753,0.5920186388240885,0.06714749500589996,-0.315811085883347,-0.4482449430858871,-0.4559841609020821,0.013868498388956462
P1,0.5,26,3.6472672233230403,3.434845760649831,3.5450863607965695,3.519934160833426,3.430386406816541,0.6236831196215671,0.7649076358537958,0.6252069879690252,-0.2713948154762883,-0.5145713114674023,-0.3309343905775756,-0.38100545845288786,-0.6419163635449239
P1,0.5,27,3.933805843201317,3.8018766163207927,3.8353629365304123,3.8014374942159224,3.444138530579624,0.8584264233762099,0.9850993242896715,0.849771028031495,-0.09042825716864204,-0.31172956685197456,-0.30321965362853226,-0.4074166323101654,-0.9702351300489515
P1,0.5,28,3.1133108173211808,2.983327567493288,3.044073879195,2.9644881552713476,2.9822724990166827,0.7331471906863619,0.8214676356824251,0.6384695390400041,-0.16748949785378536,-0.33050676097457177,-0.2271009511971828,-0.44188743043361056,-0.2852576088530313
